stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9093,哈弗H6 2021款 国潮版 1.5T 自动都市版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,39000,Petrol,自动,6917,SUV,,,1.5T,5,国VI,上海港,FOB,9093,,,published,"che168 wap (car 57972122, 城市石家庄)"
JB-9103,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,Haval Dargo 2022 2.0T,Haval Dargo 2022 2.0T,هافال دارجو Haval 2022 2.0T,Haval,哈弗大狗,2022,20000,Petrol,自动,13042,SUV,,,2.0T,5,国VI,上海港,FOB,9103,,,published,"che168 wap (car 57486553, 城市东莞)"
JB-9113,坦克300 2024款 2.0T 征服者,Tank 300 2024 2.0T,Tank 300 2024 2.0T,تانك 300 Tank 2024 2.0T,Tank,坦克300,2024,35000,Petrol,自动,19306,轿车,,,2.0T,5,国VI,上海港,FOB,9113,,,published,"che168 wap (car 57878157, 城市沈阳)"
JB-9123,炮 2021款 2.0T乘用全球版自动柴油四驱尊享型标箱GW4D20M,Great Wall Poer 2021,Great Wall Poer 2021,باور Great Wall 2021,Great Wall,炮,2021,46000,柴油,自动,12194,轿车,,,2.0T,5,国VI,上海港,FOB,9123,,,published,"che168 wap (car 53654402, 城市石家庄)"
