stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9100,哈弗H6 2021款 国潮版 1.5T 自动都市版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,39000,Petrol,自动,6917,SUV,,,1.5T,5,国VI,上海港,FOB,9100,,,published,"che168 wap (car 57972122, 城市石家庄)"
JB-9101,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,26000,Petrol,自动,10944,SUV,,,1.5T,5,国VI,上海港,FOB,9101,,,published,"che168 wap (car 58920898, 城市哈尔滨)"
JB-9102,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,38000,Petrol,自动,9139,SUV,,,1.5T,5,国VI,上海港,FOB,9102,,,published,"che168 wap (car 58971157, 城市哈尔滨)"
JB-9103,哈弗H6 2021款 国潮版 1.5T 自动冠军版,Haval H6 2021 1.5T,Haval H6 2021 1.5T,هافال H6 Haval 2021 1.5T,Haval,哈弗H6,2021,46000,Petrol,自动,8306,SUV,,,1.5T,5,国VI,上海港,FOB,9103,,,published,"che168 wap (car 59091701, 城市郑州)"
JB-9110,哈弗大狗 2022款 2.0T DCT四驱哮天犬追猎版,Haval Dargo 2022 2.0T,Haval Dargo 2022 2.0T,هافال دارجو Haval 2022 2.0T,Haval,哈弗大狗,2022,20000,Petrol,自动,13042,SUV,,,2.0T,5,国VI,上海港,FOB,9110,,,published,"che168 wap (car 57486553, 城市东莞)"
JB-9111,哈弗大狗 2021款 1.5T DCT两驱边牧-旺财版,Haval Dargo 2021 1.5T,Haval Dargo 2021 1.5T,هافال دارجو Haval 2021 1.5T,Haval,哈弗大狗,2021,31000,Petrol,自动,8125,SUV,,,1.5T,5,国VI,上海港,FOB,9111,,,published,"che168 wap (car 59117920, 城市佛山)"
JB-9112,哈弗大狗 2022款 1.5T DCT两驱马犬版,Haval Dargo 2022 1.5T,Haval Dargo 2022 1.5T,هافال دارجو Haval 2022 1.5T,Haval,哈弗大狗,2022,20000,Petrol,自动,9569,SUV,,,1.5T,5,国VI,上海港,FOB,9112,,,published,"che168 wap (car 59137659, 城市石家庄)"
JB-9113,哈弗大狗 2024款 2.0T DCT中华田园犬版,Haval Dargo 2024 2.0T,Haval Dargo 2024 2.0T,هافال دارجو Haval 2024 2.0T,Haval,哈弗大狗,2024,16000,Petrol,自动,13444,SUV,,,2.0T,5,国VI,上海港,FOB,9113,,,published,"che168 wap (car 59235311, 城市昆明)"
