stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9226,瑞虎7 PLUS 2023款 1.5TCI CVT新享版,Chery Tiggo 7 PLUS 2023 1.5TCI,Chery Tiggo 7 PLUS 2023 1.5TCI,تشيري تيجو 7 Chery PLUS 2023 1.5TCI,Chery,瑞虎7,2023,38000,Petrol,自动,10833,SUV,,,1.5T,5,国VI,上海港,FOB,9226,,,published,"che168 wap (car 58338039, 城市哈尔滨)"
JB-9236,瑞虎8 PLUS 2025款 290TGDI DCT尊贵版,Chery Tiggo 8 PLUS 2025 290TGDI,Chery Tiggo 8 PLUS 2025 290TGDI,تشيري تيجو 8 Chery PLUS 2025 290TGDI,Chery,瑞虎8,2025,4000,Petrol,自动,9514,SUV,,,,5,国VI,上海港,FOB,9236,,,published,"che168 wap (car 57885128, 城市郑州)"
JB-9246,博越L 2025款 第四代 1.5TD DCT 启程,Geely Boyue L 2025 1.5TD DCT,Geely Boyue L 2025 1.5TD DCT,جيلي بويو L Geely 2025 1.5TD DCT,Geely,博越L,2025,100,Petrol,自动,11500,SUV,,,1.5T,5,国VI,上海港,FOB,9246,,,published,"che168 wap (car 58773681, 城市南宁)"
JB-9256,星越L 2021款 2.0TD DCT EVO两驱尊贵型,Geely Monjaro 2021 2.0TD DCT,Geely Monjaro 2021 2.0TD DCT,جيلي مونجارو Geely 2021 2.0TD DCT,Geely,星越L,2021,20000,纯电,自动,10667,SUV,,,2.0T,5,国VI,上海港,FOB,9256,,,published,"che168 wap (car 56315969, 城市温州)"
