stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9000,元PLUS 2022款 430KM 尊贵型,BYD Yuan PLUS 2022 430KM,BYD Yuan PLUS 2022 430KM,بي واي دي يوان بلس BYD 2022 430KM,BYD,元PLUS,2022,32000,Petrol,自动,10528,SUV,,,,5,国VI,上海港,FOB,9000,,,published,"che168 wap (car 58416239, 城市常州)"
JB-9010,海豚 2021款 405km 时尚版,BYD Dolphin 2021 405km,BYD Dolphin 2021 405km,بي واي دي دولفين BYD 2021 405km,BYD,海豚,2021,90000,Petrol,自动,6917,SUV,,,,5,国VI,上海港,FOB,9010,,,published,"che168 wap (car 58907919, 城市重庆)"
JB-9020,海鸥 2024款 荣耀版 305km 活力版,BYD Seagull 2024 305km,BYD Seagull 2024 305km,بي واي دي سيغول BYD 2024 305km,BYD,海鸥,2024,33000,Petrol,自动,6639,SUV,,,,5,国VI,上海港,FOB,9020,,,published,"che168 wap (car 58231235, 城市天津)"
JB-9030,汉 2020款 EV 四驱高性能版旗舰型,BYD Han 2020 EV,BYD Han 2020 EV,هان BYD 2020 EV,BYD,汉,2020,80000,纯电,自动,12472,轿车,,,,5,国VI,上海港,FOB,9030,,,published,"che168 wap (car 52186096, 城市昆明)"
