stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9062,瑞虎7 PLUS 2023款 冠军版 1.5TCI CVT非凡版,Chery Tiggo 7 PLUS 2023 1.5TCI,Chery Tiggo 7 PLUS 2023 1.5TCI,تشيري تيجو 7 Chery PLUS 2023 1.5TCI,Chery,瑞虎7,2023,42000,Petrol,自动,9278,SUV,,,1.5T,5,国VI,上海港,FOB,9062,,,published,"che168 wap (car 58944481, 城市广州)"
JB-9072,瑞虎8 PLUS C-DM 2025款 1.5T 116km 尊贵型 5座,Chery Tiggo 8 PLUS C-DM 2025 1.5T 116km,Chery Tiggo 8 PLUS C-DM 2025 1.5T 116km,تشيري تيجو 8 Chery PLUS C-DM 2025 1.5T 116km,Chery,瑞虎8,2025,10000,Petrol,自动,11806,SUV,,,1.5T,5,国VI,上海港,FOB,9072,,,published,"che168 wap (car 57974294, 城市徐州)"
JB-9082,博越L 2025款 第四代 1.5TD DCT 启程,Geely Boyue L 2025 1.5TD DCT,Geely Boyue L 2025 1.5TD DCT,جيلي بويو L Geely 2025 1.5TD DCT,Geely,博越L,2025,100,Petrol,自动,11500,SUV,,,1.5T,5,国VI,上海港,FOB,9082,,,published,"che168 wap (car 58773681, 城市南宁)"
JB-9092,星越L 2021款 2.0TD DCT EVO两驱尊贵型,Geely Monjaro 2021 2.0TD DCT,Geely Monjaro 2021 2.0TD DCT,جيلي مونجارو Geely 2021 2.0TD DCT,Geely,星越L,2021,20000,纯电,自动,10667,SUV,,,2.0T,5,国VI,上海港,FOB,9092,,,published,"che168 wap (car 56315969, 城市温州)"
