stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9031,秦PLUS 2024款 荣耀版 DM-i 55KM领先型,BYD Qin PLUS DM-i 2024 DM-i,BYD Qin PLUS DM-i 2024 DM-i,تشين بلس DM-i BYD 2024 DM-i,BYD,秦PLUS,2024,23000,插混,自动,8319,SUV,,,,5,国VI,上海港,FOB,9031,,,published,"che168 wap (car 57935018, 城市武汉)"
JB-9041,理想L6 2025款 Pro 智能焕新版,Li Auto L6 2025 Pro,Li Auto L6 2025 Pro,لي أوتو L6 Li Auto 2025 Pro,Li Auto,理想L6,2025,58000,Petrol,自动,23472,SUV,,,,5,国VI,上海港,FOB,9041,,,published,"che168 wap (car 57879377, 城市沧州)"
JB-9051,理想L7 2025款 Ultra 智能焕新版,Li Auto L7 2025 Ultra,Li Auto L7 2025 Ultra,لي أوتو L7 Li Auto 2025 Ultra,Li Auto,理想L7,2025,10800,Petrol,自动,36917,SUV,,,,5,国VI,上海港,FOB,9051,,,published,"che168 wap (car 59240650, 城市台州)"
JB-9061,问界M7 2024款 1.5T 智驾四驱Ultra版 6座,AITO M7 2024 1.5T,AITO M7 2024 1.5T,إيتو M7 AITO 2024 1.5T,AITO,问界M7,2024,36000,Petrol,自动,25736,SUV,,,1.5T,5,国VI,上海港,FOB,9061,,,published,"che168 wap (car 58276539, 城市广州)"
