stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8100,宏光MINIEV 2021款 马卡龙夹心款 170km 磷酸铁锂,Wuling Hongguang Mini EV 2021 170km,Wuling Hongguang Mini EV 2021 170km,وولينغ هونغقوانغ ميني إي في Wuling 2021 170km,Wuling,宏光MINIEV,2021,30000,纯电,自动,2569,轿车,,,,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58769287, 城市成都)"
JB-8101,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,وولينغ هونغقوانغ ميني إي في Wuling 2022 GAMEBOY 200km,Wuling,宏光MINIEV,2022,40000,纯电,自动,3306,轿车,,,,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 58831952, 城市常州)"
JB-8102,宏光MINIEV 2020款 悦享款 磷酸铁锂,Wuling Hongguang Mini EV 2020,Wuling Hongguang Mini EV 2020,وولينغ هونغقوانغ ميني إي في Wuling 2020,Wuling,宏光MINIEV,2020,41000,纯电,自动,2083,轿车,,,,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59104104, 城市郑州)"
JB-8103,宏光MINIEV 2025款 第四代 四门版 进阶款,Wuling Hongguang Mini EV 2025,Wuling Hongguang Mini EV 2025,وولينغ هونغقوانغ ميني إي في Wuling 2025,Wuling,宏光MINIEV,2025,18000,纯电,自动,4417,轿车,,,,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59254382, 城市泰州)"
JB-8104,宏光MINIEV 2020款 悦享款 磷酸铁锂,Wuling Hongguang Mini EV 2020,Wuling Hongguang Mini EV 2020,وولينغ هونغقوانغ ميني إي في Wuling 2020,Wuling,宏光MINIEV,2020,24000,纯电,自动,2194,轿车,,,,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59357892, 城市深圳)"
