stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8100,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,65400,Petrol,自动,4000,轿车,,,,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58998600, 城市杭州)"
JB-8101,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,87000,Petrol,自动,4806,轿车,,,,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 59016329, 城市广州)"
JB-8102,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,70000,Petrol,自动,4139,轿车,,,,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59069555, 城市丽水)"
JB-8103,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,45000,Petrol,自动,5208,轿车,,,,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59175353, 城市郑州)"
JB-8104,名爵ZS 2020款 180DVVT 自动Lite,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,89000,Petrol,自动,4139,轿车,,,,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59517032, 城市济南)"
JB-8105,名爵ZS 2020款 180DVVT 自动UP,MG ZS 2020 180DVVT,MG ZS 2020 180DVVT,إم جي ZS MG 2020 180DVVT,MG,名爵ZS,2020,11000,Petrol,自动,4833,轿车,,,,5,国VI,上海港,FOB,8105,,,published,"che168 wap (car 59598090, 城市昆明)"
