stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9400,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,Wuling Hongguang Mini EV 2022 GAMEBOY 200km,وولينغ هونغقوانغ ميني إي في Wuling 2022 GAMEBOY 200km,Wuling,宏光MINIEV,2022,40000,纯电,自动,3306,轿车,,,,5,国VI,上海港,FOB,9400,,,published,"che168 wap (car 58831952, 城市常州)"
JB-9401,宏光MINIEV 2020款 悦享款 磷酸铁锂,Wuling Hongguang Mini EV 2020,Wuling Hongguang Mini EV 2020,وولينغ هونغقوانغ ميني إي في Wuling 2020,Wuling,宏光MINIEV,2020,41000,纯电,自动,2083,轿车,,,,5,国VI,上海港,FOB,9401,,,published,"che168 wap (car 59104104, 城市郑州)"
JB-9402,宏光MINIEV 2025款 第四代 四门版 进阶款,Wuling Hongguang Mini EV 2025,Wuling Hongguang Mini EV 2025,وولينغ هونغقوانغ ميني إي في Wuling 2025,Wuling,宏光MINIEV,2025,10000,纯电,自动,5069,轿车,,,,5,国VI,上海港,FOB,9402,,,published,"che168 wap (car 59155220, 城市无锡)"
JB-9420,AION Y 2021款 70 畅享活力版,Aion Y AION Y 2021 70,Aion Y AION Y 2021 70,إيون Y Aion AION Y 2021 70,Aion,AION Y,2021,170000,Petrol,自动,6361,轿车,,,,5,国VI,上海港,FOB,9420,,,published,"che168 wap (car 58809001, 城市东莞)"
JB-9421,AION Y 2023款 Plus 510 乐享版,Aion Y AION Y 2023 Plus 510,Aion Y AION Y 2023 Plus 510,إيون Y Aion AION Y 2023 Plus 510,Aion,AION Y,2023,52000,Petrol,自动,10208,轿车,,,,5,国VI,上海港,FOB,9421,,,published,"che168 wap (car 59272402, 城市海口)"
JB-9422,AION Y 2023款 Younger 星耀版,Aion Y AION Y 2023 Younger,Aion Y AION Y 2023 Younger,إيون Y Aion AION Y 2023 Younger,Aion,AION Y,2023,60000,Petrol,自动,8861,轿车,,,,5,国VI,上海港,FOB,9422,,,published,"che168 wap (car 59337969, 城市东莞)"
