stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9288,元PLUS 2025款 智驾版 510KM 超越型,BYD Yuan PLUS 2025 510KM,BYD Yuan PLUS 2025 510KM,بي واي دي يوان بلس BYD 2025 510KM,BYD,元PLUS,2025,24000,纯电,自动,13889,SUV,,,,5,国VI,上海港,FOB,9288,,,published,"che168 wap (car 58560842, 城市乌鲁木齐)"
JB-9298,海豚 2021款 405km 时尚版,BYD Dolphin 2021 405km,BYD Dolphin 2021 405km,بي واي دي دولفين BYD 2021 405km,BYD,海豚,2021,58000,纯电,自动,6639,SUV,,,,5,国VI,上海港,FOB,9298,,,published,"che168 wap (car 58885521, 城市广州)"
JB-9308,海鸥 2024款 荣耀版 305km 活力版,BYD Seagull 2024 305km,BYD Seagull 2024 305km,بي واي دي سيغول BYD 2024 305km,BYD,海鸥,2024,33000,纯电,自动,6639,SUV,,,,5,国VI,上海港,FOB,9308,,,published,"che168 wap (car 58231235, 城市天津)"
JB-9318,汉 2023款 DM-i 冠军版 121KM 尊荣型,BYD Han 2023 DM-i 121KM,BYD Han 2023 DM-i 121KM,هان BYD 2023 DM-i 121KM,BYD,汉,2023,36000,插混,自动,13722,轿车,,,,5,国VI,上海港,FOB,9318,,,published,"che168 wap (car 58431237, 城市东莞)"
