stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-9155,元PLUS 2022款 430KM 尊贵型,BYD Yuan PLUS 2022 430KM,BYD Yuan PLUS 2022 430KM,بي واي دي يوان بلس BYD 2022 430KM,BYD,元PLUS,2022,32000,Petrol,自动,10528,SUV,,,,5,国VI,上海港,FOB,9155,,,published,"che168 wap (car 58416239, 城市常州)"
JB-9165,海豚 2021款 405km 时尚版,BYD Dolphin 2021 405km,BYD Dolphin 2021 405km,بي واي دي دولفين BYD 2021 405km,BYD,海豚,2021,48000,Petrol,自动,7750,SUV,,,,5,国VI,上海港,FOB,9165,,,published,"che168 wap (car 59160674, 城市南宁)"
JB-9175,海鸥 2024款 荣耀版 305km 活力版,BYD Seagull 2024 305km,BYD Seagull 2024 305km,بي واي دي سيغول BYD 2024 305km,BYD,海鸥,2024,33000,Petrol,自动,6639,SUV,,,,5,国VI,上海港,FOB,9175,,,published,"che168 wap (car 58231235, 城市天津)"
JB-9185,汉 2020款 EV 四驱高性能版旗舰型,BYD Han 2020 EV,BYD Han 2020 EV,هان BYD 2020 EV,BYD,汉,2020,80000,纯电,自动,12472,轿车,,,,5,国VI,上海港,FOB,9185,,,published,"che168 wap (car 52186096, 城市昆明)"
