stock_id,title,title_en,title_ru,title_ar,brand,model,year,mileage_km,fuel,transmission,price_usd,body_type,color,drive,engine,seats,emission,departure_port,trade_term,vin_last6,registration_date,production_date,status,source
JB-8100,艾瑞泽5 PLUS 2021款 小AI 1.5T CVT型PLUS,Chery Arrizo 5 PLUS 2021 1.5T,Chery Arrizo 5 PLUS 2021 1.5T,أريزو 5 Chery PLUS 2021 1.5T,Chery,艾瑞泽5,2021,60000,Petrol,自动,5111,SUV,,,1.5T,5,国VI,上海港,FOB,8100,,,published,"che168 wap (car 58144391, 城市武汉)"
JB-8101,艾瑞泽5 2019款 改款PRO 1.5L CVT青春版 国VI,Chery Arrizo 5 2019 1.5L,Chery Arrizo 5 2019 1.5L,أريزو 5 Chery 2019 1.5L,Chery,艾瑞泽5,2019,31500,Petrol,自动,4000,轿车,,,1.5L,5,国VI,上海港,FOB,8101,,,published,"che168 wap (car 59042969, 城市铜仁)"
JB-8102,艾瑞泽5 2019款 1.5L CVT新自在版 国VI,Chery Arrizo 5 2019 1.5L,Chery Arrizo 5 2019 1.5L,أريزو 5 Chery 2019 1.5L,Chery,艾瑞泽5,2019,81500,Petrol,自动,3306,轿车,,,1.5L,5,国VI,上海港,FOB,8102,,,published,"che168 wap (car 59072070, 城市南昌)"
JB-8103,艾瑞泽5 2024款 1.5L CVT风尚型,Chery Arrizo 5 2024 1.5L,Chery Arrizo 5 2024 1.5L,أريزو 5 Chery 2024 1.5L,Chery,艾瑞泽5,2024,40000,Petrol,自动,5389,轿车,,,1.5L,5,国VI,上海港,FOB,8103,,,published,"che168 wap (car 59111058, 城市天津)"
JB-8104,艾瑞泽5 PLUS 2023款 1.5L CVT享PLUS,Chery Arrizo 5 PLUS 2023 1.5L,Chery Arrizo 5 PLUS 2023 1.5L,أريزو 5 Chery PLUS 2023 1.5L,Chery,艾瑞泽5,2023,28000,Petrol,自动,5528,SUV,,,1.5L,5,国VI,上海港,FOB,8104,,,published,"che168 wap (car 59197838, 城市湖州)"
